"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"01.01.2003","31,10","29,30","31,80","27,85","837,76K","8,51%"
"01.02.2003","32,79","30,89","33,94","30,10","765,23K","5,43%"
"01.03.2003","27,18","32,45","34,55","24,00","821,99K","-17,11%"
"01.04.2003","23,68","27,56","27,56","23,05","780,43K","-12,88%"
"01.05.2003","26,32","24,00","27,01","23,34","824,02K","11,15%"
"01.06.2003","28,33","26,70","28,52","25,80","806,24K","7,64%"
"01.07.2003","28,37","28,20","29,60","27,21","847,02K","0,14%"
"01.08.2003","29,49","28,45","30,59","28,02","752,34K","3,95%"
"01.09.2003","27,61","29,45","29,55","25,05","889,88K","-6,38%"
"01.10.2003","27,70","27,58","31,50","26,75","901,09K","0,33%"
"01.11.2003","28,45","27,98","30,52","26,97","856,73K","2,71%"
"01.12.2003","30,17","28,43","31,15","27,76","761,14K","6,05%"
"01.01.2004","29,18","29,57","32,12","28,81","890,47K","-3,28%"
"01.02.2004","32,23","29,00","32,35","28,44","820,49K","10,45%"
"01.03.2004","31,51","32,33","33,82","31,15","932,63K","-2,23%"
"01.04.2004","34,48","32,23","35,00","29,95","884,49K","9,43%"
"01.05.2004","36,58","35,22","38,90","34,95","887,18K","6,09%"
"01.06.2004","34,50","37,15","39,12","33,08","1,02M","-5,69%"
"01.07.2004","40,03","34,25","40,05","34,18","860,67K","16,03%"
"01.08.2004","39,61","39,70","45,15","39,20","878,82K","-1,05%"
"01.09.2004","46,38","39,90","46,80","39,70","892,32K","17,09%"
"01.10.2004","48,98","46,20","51,94","45,80","867,97K","5,61%"
"01.11.2004","45,51","49,20","49,60","40,05","844,44K","-7,08%"
"01.12.2004","40,46","45,35","45,43","37,00","663,26K","-11,10%"
"01.01.2005","45,92","39,40","47,35","38,81","716,92K","13,49%"
"01.02.2005","50,06","45,48","50,34","42,46","780,98K","9,02%"
"01.03.2005","54,29","50,08","56,15","49,05","756,77K","8,45%"
"01.04.2005","51,09","54,52","57,65","50,35","760,12K","-5,89%"
"01.05.2005","50,73","51,78","52,43","47,47","1,01M","-0,70%"
"01.06.2005","55,58","50,85","59,59","50,85","1,16M","9,56%"
"01.07.2005","59,37","55,70","60,70","55,25","1,17M","6,82%"
"01.08.2005","67,02","59,85","68,89","59,37","1,36M","12,89%"
"01.09.2005","63,48","66,70","67,88","61,00","1,26M","-5,28%"
"01.10.2005","58,10","63,63","63,96","57,05","1,18M","-8,48%"
"01.11.2005","55,05","58,07","60,65","53,75","1,17M","-5,25%"
"01.12.2005","58,98","55,00","60,40","54,63","1,07M","7,14%"
"01.01.2006","65,99","59,35","67,32","59,08","1,38M","11,89%"
"01.02.2006","61,76","65,76","67,27","57,90","1,20M","-6,41%"
"01.03.2006","65,91","61,95","67,05","59,26","1,41M","6,72%"
"01.04.2006","72,50","66,30","74,79","65,73","1,31M","10,00%"
"01.05.2006","70,41","71,98","74,97","67,63","1,56M","-2,88%"
"01.06.2006","73,51","70,25","73,69","66,33","1,54M","4,40%"
"01.07.2006","75,15","73,26","78,18","72,11","1,56M","2,23%"
"01.08.2006","70,25","75,15","78,65","68,82","1,36M","-6,52%"
"01.09.2006","62,48","70,42","70,66","59,32","1,51M","-11,06%"
"01.10.2006","59,03","62,70","62,82","57,39","1,85M","-5,52%"
"01.11.2006","64,26","58,85","64,77","57,75","1,73M","8,86%"
"01.12.2006","60,86","63,80","64,92","60,04","1,16M","-5,29%"
"01.01.2007","57,40","60,88","61,64","50,75","2,11M","-5,69%"
"01.02.2007","61,89","57,16","62,18","56,10","1,77M","7,82%"
"01.03.2007","68,10","61,75","69,14","59,79","1,86M","10,03%"
"01.04.2007","67,65","67,91","69,59","64,76","1,49M","-0,66%"
"01.05.2007","68,04","67,53","71,80","63,80","2,03M","0,58%"
"01.06.2007","71,41","68,15","72,25","67,61","1,72M","4,95%"
"01.07.2007","77,05","71,22","78,40","70,92","1,59M","7,90%"
"01.08.2007","72,69","76,95","77,16","68,14","1,81M","-5,66%"
"01.09.2007","79,17","72,69","81,05","72,69","1,79M","8,91%"
"01.10.2007","90,63","79,25","91,18","75,64","2,11M","14,48%"
"01.11.2007","88,26","90,94","96,65","87,55","2,22M","-2,62%"
"01.12.2007","93,85","88,74","95,87","86,56","1,56M","6,33%"
"01.01.2008","92,21","94,47","98,50","85,00","2,27M","-1,75%"
"01.02.2008","100,10","91,50","101,27","86,83","2,23M","8,56%"
"01.03.2008","100,30","100,12","108,02","96,92","2,22M","0,20%"
"01.04.2008","111,36","100,50","117,56","98,99","2,34M","11,03%"
"01.05.2008","127,78","112,74","135,14","108,42","2,34M","14,74%"
"01.06.2008","139,83","127,22","143,91","121,32","2,15M","9,43%"
"01.07.2008","123,98","140,44","147,50","120,88","2,14M","-11,34%"
"01.08.2008","114,05","123,42","127,94","110,31","2,00M","-8,01%"
"01.09.2008","98,17","115,50","115,56","88,90","2,35M","-13,92%"
"01.10.2008","65,32","99,45","100,31","59,02","2,39M","-33,46%"
"01.11.2008","53,49","64,30","67,76","47,40","2,12M","-18,11%"
"01.12.2008","45,59","53,00","53,00","36,20","1,87M","-14,77%"
"01.01.2009","45,88","43,85","52,21","41,60","2,16M","0,64%"
"01.02.2009","46,35","46,06","48,42","39,35","1,93M","1,02%"
"01.03.2009","49,23","45,56","53,86","41,30","2,18M","6,21%"
"01.04.2009","50,80","48,37","54,31","47,26","2,04M","3,19%"
"01.05.2009","65,52","50,70","65,80","49,96","1,95M","28,98%"
"01.06.2009","69,30","65,77","73,50","64,91","2,39M","5,77%"
"01.07.2009","71,70","69,90","72,12","59,49","2,49M","3,46%"
"01.08.2009","69,65","71,98","76,00","68,85","2,15M","-2,86%"
"01.09.2009","69,07","69,65","72,20","64,08","2,75M","-0,83%"
"01.10.2009","75,20","68,92","80,26","65,90","2,94M","8,88%"
"01.11.2009","78,47","75,24","80,14","73,70","2,92M","4,35%"
"01.12.2009","77,93","78,42","79,91","71,02","2,46M","-0,69%"
"01.01.2010","71,46","78,49","82,45","71,02","2,81M","-8,30%"
"01.02.2010","77,59","71,35","78,94","67,87","3,29M","8,58%"
"01.03.2010","82,70","77,69","82,82","76,21","3,38M","6,59%"
