"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"01.01.2004","1,3410","1,4035","1,4045","1,3090","","-4,39%"
"01.02.2004","1,3270","1,3380","1,3630","1,3020","","-1,04%"
"01.03.2004","1,3135","1,3265","1,3375","1,3070","","-1,02%"
"01.04.2004","1,4206","1,3106","1,4576","1,3036","","8,15%"
"01.05.2004","1,4895","1,4185","1,5755","1,4125","","4,85%"
"01.06.2004","1,4855","1,4830","1,5320","1,4620","","-0,27%"
"01.07.2004","1,4680","1,4805","1,5021","1,4225","","-1,18%"
"01.08.2004","1,5020","1,4625","1,5325","1,4405","","2,32%"
"01.09.2004","1,5040","1,5015","1,5505","1,4855","","0,13%"
"01.10.2004","1,4715","1,5030","1,5150","1,4715","","-2,16%"
"01.11.2004","1,4315","1,4735","1,4840","1,4195","","-2,72%"
"01.12.2004","1,3485","1,4335","1,4605","1,3365","","-5,80%"
"01.01.2005","1,3355","1,3475","1,4175","1,3170","","-0,96%"
"01.02.2005","1,2830","1,3375","1,3495","1,2765","","-3,93%"
"01.03.2005","1,3525","1,2805","1,3990","1,2485","","5,42%"
"01.04.2005","1,3915","1,3520","1,4110","1,3325","","2,88%"
"01.05.2005","1,3645","1,3965","1,3975","1,3355","","-1,94%"
"01.06.2005","1,3305","1,3625","1,3855","1,3295","","-2,49%"
"01.07.2005","1,3259","1,3315","1,3760","1,3190","","-0,35%"
"01.08.2005","1,3450","1,3245","1,3827","1,3095","","1,44%"
"01.09.2005","1,3465","1,3395","1,3595","1,3265","","0,11%"
"01.10.2005","1,3515","1,3540","1,3775","1,3285","","0,37%"
"01.11.2005","1,3565","1,3515","1,3751","1,3445","","0,37%"
"01.12.2005","1,3505","1,3555","1,3634","1,3380","","-0,44%"
"01.01.2006","1,3228","1,3502","1,3563","1,3173","","-2,05%"
"01.02.2006","1,3140","1,3240","1,3425","1,3075","","-0,67%"
"01.03.2006","1,3445","1,3187","1,3675","1,2975","","2,32%"
"01.04.2006","1,3225","1,3440","1,3550","1,3170","","-1,64%"
"01.05.2006","1,5735","1,3205","1,5815","1,3135","","18,98%"
"01.06.2006","1,5825","1,5685","1,7585","1,5055","","0,57%"
"01.07.2006","1,4976","1,5840","1,6160","1,4790","","-5,36%"
"01.08.2006","1,4647","1,4960","1,5150","1,4320","","-2,20%"
"01.09.2006","1,5145","1,4640","1,5505","1,4385","","3,40%"
"01.10.2006","1,4572","1,5108","1,5232","1,4407","","-3,78%"
"01.11.2006","1,4537","1,4543","1,4893","1,4303","","-0,24%"
"01.12.2006","1,4155","1,4505","1,4610","1,4065","","-2,63%"
"01.01.2007","1,4065","1,4153","1,4595","1,4005","","-0,64%"
"01.02.2007","1,4130","1,4070","1,4350","1,3745","","0,46%"
"01.03.2007","1,3920","1,4145","1,4645","1,3770","","-1,49%"
"01.04.2007","1,3645","1,3895","1,3945","1,3225","","-1,98%"
"01.05.2007","1,3175","1,3725","1,3905","1,3145","","-3,44%"
"01.06.2007","1,3125","1,3130","1,3655","1,2935","","-0,38%"
"01.07.2007","1,2843","1,3100","1,3310","1,2310","","-2,15%"
"01.08.2007","1,3003","1,3026","1,4242","1,2487","","1,25%"
"01.09.2007","1,2071","1,3012","1,3170","1,2025","","-7,17%"
"01.10.2007","1,1649","1,2067","1,2517","1,1643","","-3,50%"
"01.11.2007","1,1835","1,1636","1,2316","1,1610","","1,60%"
"01.12.2007","1,1677","1,1841","1,1993","1,1603","","-1,34%"
"01.01.2008","1,1715","1,1692","1,2517","1,1463","","0,33%"
"01.02.2008","1,2205","1,1681","1,2405","1,1580","","4,18%"
"01.03.2008","1,3347","1,2216","1,3400","1,2000","","9,36%"
"01.04.2008","1,2747","1,3313","1,3467","1,2685","","-4,50%"
"01.05.2008","1,2189","1,2723","1,2820","1,2027","","-4,38%"
"01.06.2008","1,2237","1,2195","1,2675","1,2060","","0,39%"
"01.07.2008","1,1616","1,2239","1,2586","1,1502","","-5,07%"
"01.08.2008","1,1845","1,1603","1,1986","1,1433","","1,97%"
"01.09.2008","1,2765","1,1839","1,2964","1,1789","","7,77%"
"01.10.2008","1,5422","1,2741","1,7426","1,2645","","20,81%"
"01.11.2008","1,5652","1,5138","1,7517","1,4797","","1,49%"
"01.12.2008","1,5405","1,5695","1,6230","1,4865","","-1,58%"
"01.01.2009","1,6433","1,5405","1,6829","1,5005","","6,67%"
"01.02.2009","1,7001","1,6445","1,7183","1,6030","","3,46%"
"01.03.2009","1,6620","1,7023","1,8255","1,6400","","-2,24%"
"01.04.2009","1,5983","1,6639","1,6744","1,5560","","-3,83%"
"01.05.2009","1,5356","1,5966","1,6000","1,5198","","-3,92%"
"01.06.2009","1,5415","1,5315","1,5899","1,5155","","0,38%"
"01.07.2009","1,4711","1,5405","1,5695","1,4642","","-4,57%"
